id,category,email_subject,email_body,ideal_reply
71,claim,"Mirror clipped while parked","Someone clipped my wing mirror while my car was parked on the street. There's no CCTV or witnesses. Can I claim?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the damage.\n\nYes, you can make a claim for this damage if you have comprehensive cover. As there is no other party to recover costs from, your excess will apply and the claim may affect your no claims discount unless it is protected.\n\nPlease contact our claims team with photos of the damage, and we will arrange for repairs through one of our approved repairers.\n\nKind regards,\n[Agent Name]\nClaims Team"
72,claim,"Child scratched car with bike","My child accidentally scratched the car while getting their bike out of the garage. Is this claimable?","Dear [Customer Name],\n\nThank you for your email.\n\nThis type of damage would typically be covered under an accidental damage policy if you have comprehensive cover with that option added. However, you may wish to weigh the cost of the repair against your excess and the potential impact on your no claims discount before deciding whether to claim.\n\nIf you would like to proceed, please contact our claims team with details and photos of the damage.\n\nKind regards,\n[Agent Name]\nCustomer Services"
73,claim,"Cracked windscreen—second time this year","I've had another stone chip that has turned into a crack. This is the second windscreen claim this year. Will this affect my premium?","Dear [Customer Name],\n\nThank you for getting in touch.\n\nWindscreen claims usually do not affect your no claims discount, but multiple claims in a short period may be noted on your claims history and could affect future premiums or renewals.\n\nYou can arrange a repair or replacement through our approved glass partner. If you would like advice on whether to claim or pay privately, we can provide an estimate of the likely cost impact.\n\nKind regards,\n[Agent Name]\nClaims Team"
74,claim,"Rear-ended at traffic lights","I was stationary at traffic lights and the car behind drove into the back of me. The other driver has admitted fault. How do I claim?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the accident.\n\nAs the other driver has admitted fault, we should be able to recover all costs from their insurer, meaning your excess and no claims discount should not be affected. Please provide the other driver's details (name, registration, insurer) and contact our claims team to start the process.\n\nWe will arrange repairs and liaise with the other insurer on your behalf.\n\nKind regards,\n[Agent Name]\nClaims Team"
75,complaint,"Engineer didn't turn up","An engineer was supposed to visit yesterday to assess damage for my claim, but no one came and I wasn't contacted. I took time off work for this.","Dear [Customer Name],\n\nThank you for your email and I am very sorry that the engineer did not attend as arranged.\n\nThis is clearly unacceptable and I will investigate what happened immediately. I will arrange for a new appointment to be scheduled at a time that suits you, and I will confirm this directly with you.\n\nIf you incurred any costs as a result of the missed appointment (for example, lost earnings), please let us know and we will consider this as part of your complaint.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
76,complaint,"Being chased for excess I already paid","I paid my excess weeks ago but I'm still receiving emails asking me to pay. This is causing me a lot of stress.","Dear [Customer Name],\n\nThank you for your email and I apologise for the confusion and stress this has caused.\n\nI have reviewed your account and can see that your excess payment was received on [date]. It appears our system was not updated correctly, and I have now resolved this. You should not receive any further payment requests.\n\nI apologise for the error and any inconvenience caused.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
77,complaint,"Premium increased after non-fault claim","You told me a non-fault claim wouldn't affect my premium, but my renewal has gone up significantly. I feel misled.","Dear [Customer Name],\n\nThank you for your email and I understand your frustration.\n\nWhile a non-fault claim does not affect your no claims discount, it is recorded on your claims history and can be one of many factors that influence your premium at renewal. Insurers use claims history, including non-fault claims, as part of their overall risk assessment.\n\nI appreciate that this may not have been clearly explained, and I apologise if you felt misled. I will arrange for a member of our team to review your renewal and discuss your options with you.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
78,complaint,"Claim declined with no explanation","My claim was declined but I wasn't given a proper explanation. I want to know exactly why.","Dear [Customer Name],\n\nThank you for your email and I apologise that you did not receive a clear explanation for the claim decision.\n\nEvery customer is entitled to understand why a claim has been declined, and I will arrange for a senior claims handler to contact you with a detailed explanation, including the relevant policy terms and any evidence considered.\n\nYou will also be provided with information about how to escalate your complaint if you remain dissatisfied.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
79,renewal,"Quote much higher than last year","My renewal quote is £300 more than last year, even though nothing has changed. Why has it increased so much?","Dear [Customer Name],\n\nThank you for your email and I understand your concern about the increase.\n\nInsurance premiums can change for many reasons, including updates to our pricing, changes in the wider insurance market, increased costs for claims and repairs, and changes in the risk profile for your area or vehicle type. Even if your personal circumstances have not changed, these factors can affect your premium.\n\nWe would be happy to review your renewal and discuss whether there are any adjustments we can make to reduce the cost, such as changing your excess or reviewing optional extras.\n\nKind regards,\n[Agent Name]\nCustomer Services"
80,renewal,"Can I freeze my renewal price?","I've received my renewal quote but I'm not ready to commit yet. Can I freeze the price for a few weeks?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nUnfortunately, we cannot guarantee to hold a renewal price for an extended period, as premiums can change based on market conditions and underwriting factors. However, your renewal quote is usually valid until your renewal date.\n\nIf you would like to discuss your options or compare our quote with others, we recommend doing so before your renewal date to ensure you have continuous cover in place.\n\nKind regards,\n[Agent Name]\nCustomer Services"
81,renewal,"Renewing but changing address","I'm happy to renew my policy, but I'm moving house next week. Can I renew now and update the address later?","Dear [Customer Name],\n\nThank you for your email.\n\nYes, you can renew your policy now and update your address as soon as you have moved. However, please be aware that changing your address may affect your premium, so there may be an adjustment after the renewal is processed.\n\nIf you know your new address already, we recommend providing it when you renew so your premium is calculated accurately from the start.\n\nKind regards,\n[Agent Name]\nCustomer Services"
82,renewal,"Automatic payment failed","My automatic renewal payment failed and now my policy has lapsed. What do I do?","Dear [Customer Name],\n\nThank you for contacting us.\n\nIf your renewal payment failed, your policy will have lapsed and you will no longer have cover. It is illegal to drive without insurance, so it is important to resolve this immediately.\n\nPlease contact us urgently so we can arrange a new payment and reinstate your cover. Depending on how long your cover has lapsed, we may need to issue a new policy rather than reinstate the old one.\n\nKind regards,\n[Agent Name]\nCustomer Services"
83,policy_change,"Change payment date mid-policy","Can I change the date my monthly payment is taken? It currently clashes with other bills.","Dear [Customer Name],\n\nThank you for your enquiry.\n\nIn most cases, we can adjust your payment date to better suit your circumstances. Please let us know your preferred date, and we will confirm whether it is available and when the change would take effect.\n\nPlease note that changing the payment date may result in one slightly larger or smaller payment to realign your schedule.\n\nKind regards,\n[Agent Name]\nCustomer Services"
84,policy_change,"Remove breakdown cover","I've arranged breakdown cover separately and no longer need it on my car insurance. Can I remove it and get a refund?","Dear [Customer Name],\n\nThank you for letting us know.\n\nYes, we can remove the breakdown cover from your policy. We will refund the pro-rata cost for the remaining period of your policy, minus any administration fee.\n\nPlease confirm that you would like us to proceed, and we will update your policy and confirm the refund amount.\n\nKind regards,\n[Agent Name]\nCustomer Services"
85,policy_change,"Update bank details","I've changed banks and need to update my direct debit details. How do I do this?","Dear [Customer Name],\n\nThank you for getting in touch.\n\nYou can update your bank details by logging into your online account and updating your payment information, or by contacting us directly. Please provide your new account details, and we will arrange for your direct debit to be transferred.\n\nPlease allow a few working days for the change to take effect, and ensure your old account remains active until the first payment is taken from the new account.\n\nKind regards,\n[Agent Name]\nCustomer Services"
86,policy_change,"Cancel policy early—moving abroad","I'm moving abroad permanently and need to cancel my car insurance early. Will I get a refund?","Dear [Customer Name],\n\nThank you for letting us know.\n\nYes, you can cancel your policy early if you are moving abroad. You will receive a pro-rata refund for the remaining period, minus any cancellation fee as outlined in your policy terms.\n\nPlease provide evidence of your move (such as a letter from your employer or proof of new address) and we will process your cancellation and refund.\n\nKind regards,\n[Agent Name]\nCustomer Services"
87,general_query,"Does insurance cover hire car?","I'm hiring a car for a weekend trip. Does my car insurance cover me to drive a hire car?","Dear [Customer Name],\n\nThank you for your question.\n\nYour personal car insurance does not usually cover hire cars. Most hire companies provide their own insurance as part of the rental agreement, though you may be able to purchase additional cover to reduce the excess.\n\nWe recommend checking the hire agreement carefully and considering whether additional cover is worthwhile for your trip.\n\nKind regards,\n[Agent Name]\nCustomer Services"
88,general_query,"Young driver black box removal","My son had a black box fitted when he first passed his test, but he's now 21 and driving safely. Can we remove it and switch to a standard policy?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, many customers switch from telematics (black box) policies to standard policies once they have built up driving experience and no claims bonus. Depending on your son's driving record, this may or may not reduce his premium.\n\nPlease contact us and we can provide a quote for a standard policy and arrange for the black box to be removed if you decide to switch.\n\nKind regards,\n[Agent Name]\nCustomer Services"
89,general_query,"What is underinsurance?","I've seen the term 'underinsurance' in my policy. What does this mean?","Dear [Customer Name],\n\nThank you for your question.\n\nUnderinsurance means that the amount you have insured your property or belongings for is less than their actual value. If you are underinsured and make a claim, your payout may be reduced in proportion to the shortfall.\n\nFor example, if your contents are worth £50,000 but you only insured them for £25,000, you may only receive 50% of any claim settlement. We recommend reviewing your cover regularly to ensure it reflects the true value of your property and belongings.\n\nKind regards,\n[Agent Name]\nCustomer Services"
90,general_query,"Can I get a refund if I don't claim?","I've paid for insurance all year and haven't made any claims. Can I get some money back?","Dear [Customer Name],\n\nThank you for your question.\n\nInsurance works on the principle of shared risk—your premium contributes to a pool that covers all policyholders' claims, not just your own. Even if you do not claim, your premium helps pay for others' claims and ensures cover is available if you need it.\n\nHowever, if you do not claim during your policy term, you may build up a no claims discount, which will reduce your premium at renewal.\n\nKind regards,\n[Agent Name]\nCustomer Services"
91,claim,"Pothole damage to tyre and wheel","I hit a pothole and it damaged my tyre and bent the wheel rim. Can I claim for this?","Dear [Customer Name],\n\nThank you for contacting us.\n\nPothole damage is not usually covered under standard motor insurance policies, as it is considered wear and tear or road hazard damage. However, you may be able to claim compensation from the local council responsible for maintaining the road.\n\nIf you have additional cover such as pothole protection or mechanical breakdown cover, this may apply. Please check your policy documents or contact us to confirm your cover.\n\nKind regards,\n[Agent Name]\nCustomer Services"
92,claim,"Catalytic converter stolen","My catalytic converter was stolen overnight. Can I claim for this?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the theft.\n\nCatalytic converter theft is covered under comprehensive motor insurance. Please report the theft to the police and obtain a crime reference number, then contact our claims team with photos of the damage and the crime reference.\n\nWe will arrange for your vehicle to be repaired or for a replacement part to be fitted. Your excess will apply.\n\nKind regards,\n[Agent Name]\nClaims Team"
93,claim,"Hail damage to car","My car was damaged by hailstones during a storm. The bodywork is badly dented. Can I claim?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the damage.\n\nHail damage is usually covered under comprehensive motor insurance as weather-related damage. Please contact our claims team with photos of the damage, and we will arrange for an assessment and repairs through one of our approved body shops.\n\nYour policy excess will apply.\n\nKind regards,\n[Agent Name]\nClaims Team"
94,claim,"Tree branch fell on car","A tree branch fell onto my car during a storm and damaged the roof. Is this covered?","Dear [Customer Name],\n\nThank you for contacting us and I am sorry to hear about the damage.\n\nYes, damage caused by falling trees or branches during a storm is usually covered under comprehensive motor insurance. Please contact our claims team with photos of the damage and details of the incident, and we will arrange for repairs.\n\nYour policy excess will apply.\n\nKind regards,\n[Agent Name]\nClaims Team"
95,complaint,"Forced to use approved repairer","You're insisting I use one of your approved repairers, but I want to use my local garage. Why can't I choose?","Dear [Customer Name],\n\nThank you for your email.\n\nWe recommend using one of our approved repairers because they meet our quality standards, offer guaranteed work, and we can manage the claim more efficiently. However, you are entitled to choose your own repairer if you prefer.\n\nPlease be aware that if you use a non-approved repairer, we may need to inspect the work and we cannot guarantee the repairs or provide a courtesy car. We will still settle the claim in line with your policy terms.\n\nKind regards,\n[Agent Name]\nClaims Team"
96,complaint,"Excess increased without warning","I've just tried to make a claim and been told my excess is now £750. It was £500 last year. Why did it change without me being told?","Dear [Customer Name],\n\nThank you for your email and I apologise for the confusion.\n\nYour excess may have changed at your last renewal if your circumstances, vehicle, or level of cover changed. This information should have been included in your renewal documents, but I will review your account to confirm whether it was clearly communicated.\n\nIf there was an error, I will arrange for this to be corrected and for a manager to contact you to discuss the situation.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
97,complaint,"Claim process too slow","My claim was opened six weeks ago and I still don't have my car back. This is taking far too long.","Dear [Customer Name],\n\nThank you for your email and I sincerely apologise for the delay in completing your claim.\n\nI have reviewed your case and will escalate it to a senior claims manager immediately. They will contact you within 24 hours with a clear timeline for when your repairs will be completed and your vehicle returned.\n\nWe are committed to resolving this as quickly as possible, and I apologise for the inconvenience caused.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
98,complaint,"No courtesy car provided","I was told I would get a courtesy car while mine is being repaired, but now I'm being told one isn't available. I need a car for work.","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear that a courtesy car was not provided as expected.\n\nCourtesy cars are subject to availability and the terms of your policy. I will review your policy and the arrangements made for your claim, and if a courtesy car should have been provided, I will arrange one urgently or discuss alternative solutions such as a hire car.\n\nI will contact you within 24 hours to resolve this.\n\nKind regards,\n[Agent Name]\nClaims Team"
99,renewal,"Moving from monthly to weekly payments","Is it possible to change from monthly to weekly payments? It would help me manage my budget better.","Dear [Customer Name],\n\nThank you for your enquiry.\n\nUnfortunately, we do not currently offer weekly payment options. Most policies are available on an annual or monthly instalment basis. If monthly payments are difficult to manage, you may wish to consider adjusting your payment date so it aligns better with your income.\n\nIf you would like to discuss this further, please contact us.\n\nKind regards,\n[Agent Name]\nCustomer Services"
100,renewal,"Partner deceased—how to update policy","My partner has passed away and they were the main policyholder. What do I need to do to transfer or update the policy?","Dear [Customer Name],\n\nI am very sorry for your loss.\n\nWe will do everything we can to support you during this difficult time. Please contact us when you are ready, and we will help you either transfer the policy into your name or cancel it, depending on your circumstances. We may need to see a copy of the death certificate, but we will make the process as straightforward as possible.\n\nThere will be no charges for making changes to the policy in these circumstances.\n\nKind regards,\n[Agent Name]\nCustomer Services"
101,policy_change,"Change vehicle colour after respray","I've had my car resprayed from black to blue. Do I need to notify you?","Dear [Customer Name],\n\nThank you for letting us know.\n\nYes, you must notify us of any changes to your vehicle, including a change of colour, as this can affect your premium and your cover. We will update your records and confirm whether there is any change to your premium.\n\nPlease provide the new colour and we will process the change for you.\n\nKind regards,\n[Agent Name]\nCustomer Services"
102,policy_change,"Reduce cover from comprehensive to third party","Can I downgrade my cover from comprehensive to third party only to reduce my premium?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, you can reduce your level of cover from comprehensive to third party, fire and theft or third party only. This will usually reduce your premium, but you will lose benefits such as cover for damage to your own vehicle.\n\nPlease contact us if you would like a quote for reduced cover, and we will confirm the new premium and refund any difference for the remaining period.\n\nKind regards,\n[Agent Name]\nCustomer Services"
103,policy_change,"Add breakdown cover mid-term","Can I add breakdown cover to my policy now, or do I need to wait until renewal?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, you can add breakdown cover at any time during your policy term. The cost will be calculated on a pro-rata basis for the remaining period, and there may be a small administration fee.\n\nPlease let us know if you would like to proceed, and we will provide a quote and update your policy.\n\nKind regards,\n[Agent Name]\nCustomer Services"
104,general_query,"Insurance for electric vehicle","I'm thinking of buying an electric car. Is insurance more expensive for EVs?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nInsurance for electric vehicles can be more expensive than for petrol or diesel cars, as EVs often have higher purchase prices and repair costs. However, this varies depending on the make and model, and some insurers offer specialist EV policies or discounts.\n\nIf you provide details of the electric vehicle you are considering, we can provide a quote so you can compare it with your current premium.\n\nKind regards,\n[Agent Name]\nCustomer Services"
105,general_query,"What is agreed value cover?","I've seen 'agreed value' and 'market value' mentioned in classic car insurance. What's the difference?","Dear [Customer Name],\n\nThank you for your question.\n\nMarket value cover means that if your car is written off, you will receive the current market value at the time of the claim. Agreed value cover means you and the insurer agree on a fixed value for the vehicle when you take out the policy, and this is the amount you will receive if the car is written off, regardless of market fluctuations.\n\nAgreed value is often used for classic or modified cars where the market value may not reflect the true worth of the vehicle.\n\nKind regards,\n[Agent Name]\nCustomer Services"
106,general_query,"Insurance for car kept off-road","My car is off the road and I have a SORN. Do I still need insurance?","Dear [Customer Name],\n\nThank you for your question.\n\nIf your vehicle has a Statutory Off Road Notification (SORN) and is not being used or kept on a public road, you are not legally required to have motor insurance. However, you may still want to consider keeping cover for fire, theft, and damage while the vehicle is stored.\n\nIf you would like a quote for laid-up cover, please contact us.\n\nKind regards,\n[Agent Name]\nCustomer Services"
107,general_query,"What is fronting?","I've heard the term 'fronting' in relation to car insurance. What does it mean and is it illegal?","Dear [Customer Name],\n\nThank you for your question.\n\nFronting is when someone takes out an insurance policy in their name and lists another person (usually a higher-risk driver, such as a young or inexperienced driver) as a named driver, when in reality that other person is the main user of the vehicle. This is done to reduce the premium.\n\nFronting is a form of fraud and is illegal. If discovered, it can result in the policy being cancelled, claims being rejected, and prosecution. It is important to ensure the main driver is correctly listed on the policy.\n\nKind regards,\n[Agent Name]\nCustomer Services"
108,general_query,"Insurance certificate lost","I've lost my insurance certificate. Do I need it to drive legally?","Dear [Customer Name],\n\nThank you for your question.\n\nYou do not need to carry your insurance certificate with you while driving, as police can check your insurance electronically via the Motor Insurance Database. However, you must have valid insurance in place.\n\nYou can download a replacement certificate from your online account or request one by email, and we will send it to you immediately.\n\nKind regards,\n[Agent Name]\nCustomer Services"
109,general_query,"Can I insure a car I don't own?","I want to insure my partner's car in my name so I can build up no claims discount. Is this allowed?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYou can usually only take out insurance on a vehicle if you have an insurable interest in it, meaning you own it, have legal responsibility for it, or would suffer a financial loss if it were damaged. Simply wanting to build no claims discount is not usually sufficient.\n\nIf you are the main driver of your partner's car, the best approach is usually for your partner to take out the policy and list you as a named driver, or for the vehicle to be registered in your name.\n\nKind regards,\n[Agent Name]\nCustomer Services"
110,general_query,"What is a protected no claims discount?","I'm being offered protected no claims discount at renewal. What does this mean and is it worth it?","Dear [Customer Name],\n\nThank you for your question.\n\nProtected no claims discount means that if you make one or two claims (depending on the terms), your no claims discount will not be reduced at renewal. However, your overall premium may still increase after a claim, as your claims history affects your risk profile.\n\nWhether it is worth paying for depends on how likely you think you are to make a claim and how much the protection costs. If you have a high level of no claims discount that you want to safeguard, it may be a worthwhile investment.\n\nKind regards,\n[Agent Name]\nCustomer Services"
